,ticker,price,priceChange,priceChangeRatio,priceChangeRatio1W,priceChangeRatio1M,id,title,source,publishDate
0,PIA,25000,0,0.0,-0.023,-0.126,10961990,PIA: Báo cáo tài chính quý 3/2023,HNX,2023-10-20 11:03:00
1,PIA,25100,0,0.0,-0.038,-0.027,10947382,PIA: Thay đổi nhân sự,HNX,2023-10-05 14:48:00
2,PIA,31100,2800,0.099,0.107,0.115,10928554,PIA: Thông báo tỷ lệ sở hữu nước ngoài tối đa,HNX,2023-09-15 09:24:00
3,PIA,28100,2000,0.077,0.089,-0.044,10921480,PIA: Thông báo tỷ lệ sở hữu nước ngoài,HNX,2023-09-08 09:13:00
4,PIA,25800,0,0.0,0.0,-0.104,10919287,PIA: Thay đổi nhân sự,HNX,2023-09-06 16:27:00
5,PIA,25800,-2800,-0.098,-0.008,0.012,10912241,PIA: Đơn xin chấm dứt hợp đồng lao động của Ông Trần Quang Hùng,HNX,2023-08-29 16:03:00
6,PIA,28800,2600,0.099,0.032,0.007,10903809,PIA: Báo cáo tài chính bán niên năm 2023,HNX,2023-08-21 13:57:00
7,PIA,27900,0,0.0,-0.07,0.061,10898627,PIA: Hoàng Minh Phương - người có liên quan đến Ủy viên HĐQT - đã mua 56.100 CP,HNX,2023-08-16 14:20:00
8,PIA,26300,200,0.008,0.019,0.119,10884724,PIA: Thay đổi giấy đăng ký kinh doanh,HNX,2023-08-03 18:01:00
9,PIA,25500,0,0.0,-0.108,0.085,10881778,PIA: Báo cáo quản trị công ty bán niên 2023,HNX,2023-08-01 19:07:00
